631089,2034,2029,17,629,1390,15,1405,0,1404,15,0,6,1,0,366,1,0,112,0,57,0,2,0,487,0,3,0,0,5,0,0,0,28,0,2,0,1,0,1,133,0,0,81,0,0,98,1,0,4
631090,1932,1922,15,550,1368,14,1382,0,1382,22,3,5,2,1,395,1,0,101,0,38,0,2,0,482,0,0,0,0,6,0,0,0,13,0,2,1,0,0,0,131,0,0,76,0,1,96,4,0,0
631091,1932,1928,20,614,1306,12,1318,0,1318,19,5,2,1,3,349,2,1,106,0,39,0,0,1,470,0,2,0,1,5,0,1,0,13,0,1,0,0,0,0,146,2,0,63,1,2,77,2,2,2
631092,1836,1831,13,580,1250,6,1256,0,1256,20,1,2,4,1,317,2,0,117,0,59,0,1,2,396,1,0,0,1,5,0,0,0,16,0,0,0,1,1,0,131,0,0,80,0,1,90,6,1,0
631093,1965,1981,10,553,1404,8,1412,0,1412,8,4,1,1,3,327,3,1,100,0,65,0,3,0,533,2,0,0,0,5,1,0,1,14,0,3,1,0,0,0,160,0,1,75,1,0,91,4,0,4
631094,1857,1853,16,617,1231,9,1240,0,1239,11,2,2,2,1,310,0,0,118,0,36,0,0,0,441,0,2,0,1,4,0,0,0,12,3,3,0,0,0,0,147,0,0,53,0,1,87,2,1,0
631095,1998,1976,2,828,1168,2,1170,0,1170,21,5,4,1,0,154,1,0,71,0,52,0,1,3,622,0,0,0,0,5,1,0,1,8,1,1,0,1,0,0,137,2,0,33,0,0,41,3,1,0
631096,1812,1830,4,541,1269,2,1271,0,1271,15,2,4,2,2,138,1,0,66,0,76,0,2,0,544,0,0,0,0,9,0,0,1,7,0,3,0,0,0,1,204,0,2,106,0,0,81,1,1,3
631097,2067,2038,6,888,1175,4,1179,0,1179,15,4,2,1,1,132,1,0,77,0,35,0,0,0,712,1,0,1,0,5,0,3,0,4,0,0,2,0,0,1,97,0,1,39,2,0,39,1,1,2
631098,1983,1976,20,638,1328,17,1345,0,1344,15,3,2,1,4,310,1,0,126,0,57,0,1,1,489,0,0,0,0,7,0,0,0,29,1,1,0,0,0,0,130,0,1,50,0,0,113,1,1,0
631099,2196,2201,29,720,1462,14,1476,0,1476,29,8,2,2,4,341,0,0,133,0,50,0,1,0,518,1,2,1,0,5,0,0,1,18,2,3,0,0,1,0,154,0,1,81,0,1,114,2,0,1
631100,2082,2086,10,878,1194,10,1204,0,1204,14,8,5,0,4,192,0,0,74,0,37,1,0,0,564,0,0,0,0,6,1,0,0,11,1,0,1,0,1,0,146,0,1,60,0,5,63,4,1,4
631101,2133,2127,17,676,1442,15,1457,0,1457,8,4,1,2,2,393,1,1,113,1,59,0,2,0,496,1,0,0,0,5,0,0,0,16,1,1,0,0,0,0,164,0,0,92,0,0,90,4,0,0
631102,2049,2049,16,645,1394,10,1404,0,1402,13,1,3,3,0,331,0,1,128,0,54,0,0,0,458,0,0,0,0,6,0,1,1,14,0,3,0,1,0,2,158,0,2,98,0,2,119,3,0,0
631103,1923,1930,23,561,1343,19,1362,0,1362,4,4,1,1,2,340,0,1,147,0,40,0,2,1,442,0,1,3,0,5,0,0,2,21,3,1,0,1,0,2,162,0,1,81,0,2,90,0,1,1
631104,1938,1931,14,610,1317,11,1328,0,1328,13,2,3,2,2,369,1,0,100,0,50,0,0,1,429,2,0,0,0,4,0,0,2,18,1,3,0,0,0,0,139,0,0,82,1,3,97,2,1,1
631105,1812,1808,20,525,1277,10,1287,0,1287,17,2,0,1,0,341,1,2,98,1,53,0,1,0,405,2,1,1,0,2,0,0,0,7,1,0,0,0,0,0,159,0,3,76,0,3,105,2,1,2
631106,1860,1857,16,579,1268,12,1280,0,1280,14,2,3,3,2,361,1,0,92,0,55,0,0,0,386,1,1,1,0,5,0,1,0,12,2,1,0,0,0,1,164,0,2,78,0,0,88,2,0,2
631107,2187,2166,35,688,1466,33,1499,0,1499,10,1,1,5,0,335,3,0,117,0,66,0,0,0,562,0,0,0,0,9,0,0,1,18,2,1,0,1,0,0,171,0,0,77,0,1,110,4,3,1
631108,2112,2114,0,1129,983,0,983,0,983,13,3,1,1,1,85,0,0,60,0,29,0,0,1,623,4,0,0,1,5,0,0,0,10,0,1,0,0,0,0,72,0,0,32,1,2,34,1,0,3
631109,1989,1971,20,635,1343,11,1354,0,1354,21,6,3,6,4,337,0,0,115,0,48,0,0,0,484,1,1,0,0,7,0,0,1,16,1,0,0,0,0,0,150,1,1,61,0,3,83,3,1,0
631110,2040,2061,17,577,1448,15,1463,0,1463,6,7,3,4,3,344,1,0,105,1,66,0,0,1,509,0,1,0,0,10,0,1,0,19,0,5,0,0,0,1,179,0,0,85,3,2,103,1,0,3
631111,2214,2198,0,1296,918,0,918,0,918,5,3,1,1,0,43,2,0,68,0,23,0,2,0,626,1,1,0,0,2,0,3,2,7,0,0,1,0,0,1,77,0,0,24,0,1,20,2,0,2
631112,2157,2161,20,680,1459,18,1477,0,1477,14,2,3,4,3,384,2,0,115,0,76,0,3,1,458,0,0,1,0,3,0,0,2,18,1,0,0,0,0,1,175,0,0,78,0,2,125,5,1,0
631113,2112,2088,10,669,1437,6,1443,0,1443,17,3,5,0,3,363,1,0,122,0,75,0,3,0,470,1,3,0,0,6,1,0,3,15,0,1,0,0,0,0,173,0,1,77,0,3,94,1,0,2
631114,1830,1824,7,576,1247,7,1254,0,1254,13,7,3,1,4,327,2,0,79,1,51,0,2,0,368,1,1,1,0,5,0,0,1,11,0,2,0,0,0,0,179,0,0,72,0,2,113,3,0,5
631115,2226,2227,20,610,1603,13,1616,0,1616,16,4,1,2,2,406,2,1,118,1,83,0,3,0,505,1,0,0,0,4,1,0,1,10,2,1,0,0,0,2,219,0,1,78,1,6,141,4,0,0
631116,1758,1760,10,533,1219,6,1225,0,1225,13,1,4,1,5,360,1,0,119,1,46,0,0,0,343,1,0,0,0,9,0,0,1,10,2,0,0,1,1,0,153,0,0,65,0,1,81,3,0,3
631117,2019,2026,20,642,1361,16,1377,0,1377,12,2,2,1,3,356,3,0,110,0,75,0,1,0,449,2,4,0,0,4,0,0,1,12,0,0,0,0,0,1,168,0,1,75,0,2,89,4,0,0
631118,2037,2032,16,625,1398,14,1412,0,1410,16,3,0,0,1,343,0,0,132,0,74,0,2,0,461,1,1,1,0,8,0,0,1,30,0,1,0,2,2,0,135,0,0,93,1,2,91,7,1,1
631119,1689,1685,12,552,1128,9,1137,0,1137,9,2,0,1,0,297,3,0,77,0,31,0,0,0,390,3,1,0,0,4,0,0,3,25,5,1,0,0,1,1,128,1,0,67,0,2,81,1,1,2
631120,1839,1841,14,605,1227,7,1234,0,1232,12,3,2,6,2,322,0,0,85,0,43,0,0,1,423,4,0,0,0,7,0,0,1,22,0,0,0,0,0,0,143,0,1,55,0,3,92,4,0,1
631121,1950,1931,7,578,1366,6,1372,0,1372,14,7,1,0,2,379,0,0,113,0,39,0,0,0,495,0,0,0,0,6,0,0,1,16,0,0,1,0,0,1,146,0,0,53,0,2,92,4,0,0
631122,1605,1602,11,495,1099,11,1110,0,1110,9,3,0,3,3,276,0,0,91,0,49,0,0,1,376,1,0,0,0,3,0,2,1,10,3,2,0,0,0,0,123,1,1,68,0,2,79,3,0,0
631123,2169,2178,12,607,1551,11,1562,0,1561,11,4,1,3,3,401,0,0,112,0,60,0,0,0,533,2,0,0,0,13,0,0,0,10,2,4,1,0,0,1,191,0,1,87,0,1,113,5,1,1
631124,2247,2226,13,909,1327,11,1338,0,1338,14,3,4,2,1,277,3,1,111,0,58,1,1,1,502,0,1,0,0,7,0,1,3,20,1,1,0,0,0,1,170,0,0,55,0,3,90,3,0,3
631125,1797,1791,10,506,1281,10,1291,0,1291,15,4,2,0,2,356,2,1,97,0,41,0,1,2,381,1,1,0,0,3,0,0,2,20,1,1,1,1,0,0,183,1,1,68,0,0,94,2,2,5
631126,1683,1693,18,544,1127,12,1139,0,1139,14,4,0,1,3,279,1,0,99,0,53,0,4,0,368,0,0,0,0,1,0,0,0,10,1,1,0,0,0,0,153,0,0,60,0,2,83,1,0,1
