000001,984,817,28,167,789,28,817,0,817,76,5,0,2,2,9,4,0,1,0,25,2,1,1,278,0,1,0,1,16,0,0,4,13,2,1,0,1,3,2,49,0,0,2,0,1,263,43,2,7
461848,2013,2036,26,673,1324,16,1340,0,1340,13,6,3,6,1,47,0,0,10,0,184,0,1,0,177,1,1,0,0,48,0,1,1,21,1,8,0,1,1,3,583,0,2,76,0,2,131,9,0,2
461849,2079,2068,20,676,1394,9,1403,0,1403,23,2,4,4,1,61,0,0,14,0,229,1,1,0,169,0,1,0,0,37,0,0,2,11,0,3,0,0,0,1,625,0,2,93,0,1,109,2,0,7
461850,1557,1545,5,475,1079,3,1082,0,1082,16,2,1,4,0,71,0,1,14,0,140,0,1,0,236,0,1,1,0,28,0,0,2,7,1,4,1,0,0,1,379,0,0,69,0,1,96,1,0,4
461851,1614,1639,14,541,1065,8,1073,0,1073,13,5,2,3,0,56,0,1,14,0,157,0,1,1,153,0,0,0,1,45,1,1,0,9,0,4,0,1,0,0,447,1,0,75,0,1,75,4,1,1
461852,1386,1404,4,498,884,4,888,0,887,13,2,3,0,0,36,0,0,11,0,157,0,3,0,123,1,0,0,1,32,1,0,0,7,1,5,0,1,1,1,348,0,1,54,0,0,76,3,0,6
461853,1578,1597,10,548,1022,8,1030,0,1030,12,4,1,3,2,43,1,0,8,0,150,0,2,0,137,1,0,0,0,37,1,0,0,8,0,5,0,1,0,1,453,0,1,63,0,0,90,4,2,0
461854,1989,1971,7,695,1291,3,1294,0,1294,15,0,1,2,0,44,0,0,20,0,229,0,1,0,179,0,0,0,0,40,0,1,2,13,0,4,0,0,1,2,524,1,0,66,0,1,133,8,1,6
461855,2064,2051,7,756,1301,7,1308,0,1308,15,2,2,2,0,28,0,0,11,1,242,1,0,0,158,2,0,0,0,43,1,1,2,19,0,6,0,2,1,1,583,1,0,70,0,0,103,2,3,6
461856,2205,2190,8,827,1374,4,1378,0,1378,15,3,4,2,0,31,0,0,15,1,251,0,3,1,205,0,0,0,0,47,0,1,0,20,2,4,0,0,0,1,544,2,0,91,0,1,122,5,1,6
461857,2166,2135,5,829,1333,4,1337,0,1337,22,2,2,0,1,43,0,0,13,0,221,1,3,0,155,1,0,0,1,57,0,1,1,17,1,3,0,1,0,0,590,0,5,74,0,0,112,4,1,5
461858,1449,1450,10,484,958,7,965,0,965,12,0,1,4,0,27,0,0,7,1,122,0,1,0,130,0,1,0,0,27,0,0,0,13,1,1,0,5,0,3,466,1,0,62,0,0,66,3,1,10
461859,873,892,0,300,573,0,573,0,573,4,1,1,1,1,8,0,0,8,0,81,0,1,0,82,2,1,0,0,25,0,0,0,4,0,2,0,1,0,1,246,0,1,46,0,1,52,1,1,1
461860,1440,1442,4,437,1001,2,1003,0,1003,8,2,5,1,1,22,0,0,8,0,145,0,0,0,139,0,1,0,0,38,0,0,0,9,1,4,0,0,0,0,463,0,1,64,0,0,83,3,0,5
461861,1709,1704,9,529,1173,7,1180,0,1180,16,2,6,0,0,32,1,0,11,1,171,0,1,0,190,1,3,0,1,40,1,0,1,15,2,0,0,1,0,3,535,0,1,58,0,1,84,0,0,2
461862,1638,1647,6,496,1137,5,1142,0,1142,13,4,2,1,1,79,0,0,13,0,127,0,2,1,118,0,3,0,1,35,1,1,1,11,1,2,0,1,0,1,540,1,0,79,0,0,96,5,1,1
461863,2043,2031,15,683,1349,11,1360,0,1360,12,2,4,2,1,89,0,1,17,1,156,0,1,0,175,0,1,0,0,39,0,2,1,16,0,2,0,2,0,3,598,1,0,104,0,0,122,0,2,6
